Observation,Odds,Ranking Difference,Home(1) / Away(0),Team Value (in millions of euros),Points earned in last five games,"Win the last confrontation (Win=1, Not a win=0)","Loss in the last confrontation (Loss =1, Not a loss = 0)",Overall Ranking
Nantes 25,4.75,4,0,98.55,4,0,1,14
Toulouse 25,4,-2,0,72.45,6,1,0,15
Amiens 25,9,-10,0,62.2,3,0,1,16
Dijon 25,3.8,-6,0,73.05,3,0,1,17
Monaco 25,1.75,-4,1,304.85,5,1,0,18
Caen 25,3.2,-10,1,26.2,0,0,0,19
Guingamp 25,13,-17,0,30.35,4,0,1,20
Paris 26,1.2,9,1,912.65,12,1,0,1
Lille 26,2.6,7,0,150.25,13,0,0,2
Lyon 26,2.37,13,0,389.4,12,1,0,3
Marseille 26,2.6,7,0,271.05,9,0,0,4
Saint-Etienne 26,2.25,13,0,102.35,4,1,0,5
Montpellier 26,2.05,1,1,81.6,6,1,0,6
Reims 26,4.2,-1,0,59.7,11,0,1,7
Nice 26,3,9,0,131.7,7,1,0,8
Strasbourg 26,2.9,-7,1,83.4,7,0,0,9
Nimes 26,13,-9,0,76.6,10,0,1,10
Rennes 26,2.8,-7,1,131.45,7,0,0,11
Angers 26,3,8,0,58,10,0,1,12
Bordeaux 26,3.75,1,0,120.75,4,1,0,13
Nantes 26,2.1,-1,1,98.55,4,0,1,14
Toulouse 26,1.72,4,1,72.45,5,1,0,15
Monaco 26,2.87,-13,1,304.85,7,0,1,16
Amiens 26,2.6,-9,1,62.2,3,0,1,17
Dijon 26,3.25,-13,1,73.05,3,0,1,18
Caen 26,5,-4,0,26.2,1,0,1,19
Guingamp 26,2.5,-8,1,30.35,1,1,0,20
